thread_id,thread_text,time,cleaned,tweetnlp_topic
p501098958,>kill all of our domestic chickens because fake pcr test said to>Have no eggs>Beg for eggs from countries that didn't test or genocide their chickens,03/21/25(Fri)13:40:04No.501098958, kill domestic chickens fake pcr test said eggs beg eggs countries test genocide chickens,"['news_&_social_concern', 'science_&_technology']"
p501104660,Denmark is the best country in Europe and I'm tired of pretending it's not.,03/21/25(Fri)14:53:50No.501104660,denmark best country europe tired pretending ,['sports']
p501098958,>kill all of our domestic chickens because fake pcr test said to>Have no eggs>Beg for eggs from countries that didn't test or genocide their chickens,03/21/25(Fri)13:40:04No.501098958, kill domestic chickens fake pcr test said eggs beg eggs countries test genocide chickens,"['news_&_social_concern', 'science_&_technology']"
p501101640,,03/21/25(Fri)14:15:39No.501101640,,
p501099426,You can't be racist and pagan.You can't be pro-white and pagan.You can't be pro-christian and pagan.You can't be anti-semetic and pagan.You can't be a nazi and a pagan at the same time.,03/21/25(Fri)13:46:30No.501099426,racist pagan pro white pagan pro christian pagan anti semetic pagan nazi pagan time ,['news_&_social_concern']
p501102661,"Yes, we need to convince our leftists here to leave to europe, make all 50 states red, europe would love them",03/21/25(Fri)14:28:43No.501102661,yes  need convince leftists leave europe  make  states red  europe would love,['news_&_social_concern']
p501102375,>scientists from english speaking country cant even speak english fluentlyBWAHAHAHA these south african dudes were diversity hireshttps://youtu.be/zAKSVhAnaQs?si=zDXoMyB6Mvu_k2hi[Embed],03/21/25(Fri)14:24:53No.501102375, scientists english speaking country cant even speak english fluentlybwahahaha south african dudes diversity hireshttps youtu zaksvhanaqs si zdxomybmvu khi embed ,"['learning_&_educational', 'news_&_social_concern']"
p501105887,RAF now have the F-47 technology. No more illegal military experimentation on us! Nato pilot is DEAD,03/21/25(Fri)15:09:23No.501105887,raf f  technology  illegal military experimentation us  nato pilot dead,"['news_&_social_concern', 'science_&_technology']"
p501104439,What are the implications of this?,03/21/25(Fri)14:51:09No.501104439,implications ,['diaries_&_daily_life']
p501101985,"For whoever cares to hear about it, there is massive defrauding of the taxpayers occurring at FCI Thomson in Illinois. It is a federal prison that used to be a state super max, but it got shut down after being deemed inhumane. The feds bought the vacant building and turned it into a low-security prison, and now have about 2000 inmates there. Approximately half the staff at FCI Thomson used to work at the super-max, and during that time their pay was substantially higher. Why? Because at a super-max, staff members automatically get hazard pay.So, how is the administration trying to make up for the pay reduction? Why, by putting the entire prison on lockdown continuously of course.In the feds, going on lockdown means keeping all the inmates in the 2 man cells continuously, which effectively turns the whole prison into the SHU. It has the side-effect of cutting the inmates off from any physical means of communication to the outside. And it also has the side-effect of ensuring that all the guards and staff make huge amounts of overtime whilst actually performing less work. Although their shifts become longer, all the programming and most administrative request processes become disabled. The guards at Thomson go a little bit further by only letting the kitchen staff out for a few hours during lockdowns, so the guards do not even have to take over cooking / passing out the food either (except for unlocking the small slot on the door).The general idea behind lockdowns in the feds is that they are supposed to be an extraordinary measure in response to some extreme danger. Basically, if there's a race riot or a gang war, a prison will go on lockdown. Its not supposed to be the normal status of a prison, because it will eventually make people go violent and crazy. At FCI Thomson, they spent ~3 months out of the last year on lockdown, and so far in 2025 they have spent 40 days on lockdown. We are only 3 months into the year, and this is for low-security inmates!",03/21/25(Fri)14:19:52No.501101985,whoever cares hear  massive defrauding taxpayers occurring fci thomson illinois  federal prison used state super max  got shut deemed inhumane  feds bought vacant building turned low security prison   inmates  approximately half staff fci thomson used work super max  time pay substantially higher   super max  staff members automatically get hazard pay  administration trying make pay reduction   putting entire prison lockdown continuously course feds  going lockdown means keeping inmates  man cells continuously  effectively turns whole prison shu  side effect cutting inmates physical means communication outside  also side effect ensuring guards staff make huge amounts overtime whilst actually performing less work  although shifts become longer  programming administrative request processes become disabled  guards thomson go little bit letting kitchen staff hours lockdowns  guards even take cooking   passing food either  except unlocking small slot door general idea behind lockdowns feds supposed extraordinary measure response extreme danger  basically  race riot gang war  prison go lockdown  supposed normal status prison  eventually make people go violent crazy  fci thomson  spent   months last year lockdown  far  spent  days lockdown   months year  low security inmates ,['news_&_social_concern']
p501102063,Are the orcs responsible for what Sauron orders them?Pic unrelated,03/21/25(Fri)14:20:49No.501102063,orcs responsible sauron orders pic unrelated,['diaries_&_daily_life']
p501095545,Have you thanked a leftist today for saving the country?,03/21/25(Fri)12:54:09No.501095545,thanked leftist today saving country ,['news_&_social_concern']
p501097253,"india failed to attract factories from china, what went wrong?>https://x.com/BeijingDai/status/1903078818258329813/photo/1Reuters reported that India has abandoned its four-year, $23 billion PLI program. The sole purpose of this plan is to attract manufacturing to leave China and come to India, increasing the proportion of manufacturing in the Indian economy to 25% by 2025. However, the reality is that the proportion of manufacturing in India's GDP has decreased from 16% in 2015 to 13% now.India's GDP is still growing at a rate of around 6%, but mainly from the service industry. As long as India cannot succeed in manufacturing, its threat to China will only be verbal. The Chinese should never underestimate this threat. The Indians have fully demonstrated their hostility in the past few years. Of course, they lack the ability to realize this threat with poor manufacturing.I have always said that Modi's biggest strategic mistake is to make the Chinese greatly increase their vigilance against India. The Chinese government allowed Chinese mobile phones, such as Xiaomi and Vivo, to invest in India before 2019, and the mobile phone industry is now basically the only highlight of Indian manufacturing, but China will never make such a mistake again.https://www.reuters.com/markets/emerging/indias-23-bln-plan-rival-china-factories-lapse-after-it-disappoints-2025-03-21/Exclusive: India's $23 billion plan to rival China factories to lapse after it disappoints",03/21/25(Fri)13:16:54No.501097253,india failed attract factories china  went wrong https x com beijingdai status  photo reuters reported india abandoned four year    billion pli program  sole purpose plan attract manufacturing leave china come india  increasing proportion manufacturing indian economy     however  reality proportion manufacturing india gdp decreased      india gdp still growing rate around   mainly service industry  long india cannot succeed manufacturing  threat china verbal  chinese never underestimate threat  indians fully demonstrated hostility past years  course  lack ability realize threat poor manufacturing always said modi biggest strategic mistake make chinese greatly increase vigilance india  chinese government allowed chinese mobile phones  xiaomi vivo  invest india   mobile phone industry basically highlight indian manufacturing  china never make mistake https www reuters com markets emerging indias  bln plan rival china factories lapse disappoints    exclusive  india   billion plan rival china factories lapse disappoints,"['business_&_entrepreneurs', 'news_&_social_concern']"
p501104178,The libs are slated to get a majority now. Is accelerationism the only answer at this point?,03/21/25(Fri)14:47:55No.501104178,libs slated get majority  accelerationism answer point ,['news_&_social_concern']
p501081812,You can't refute this. This one and the teeth always convinces regular people.,03/21/25(Fri)09:36:08No.501081812,refute  one teeth always convinces regular people ,[]
p501105917,I find this disrespectful honestly. Does the CIA even bother trying at all anymore?,03/21/25(Fri)15:09:50No.501105917,find disrespectful honestly  cia even bother trying anymore ,['diaries_&_daily_life']
p501103637,"She is objectively nasty, has a world class RBF, and is a TDS nut.Famously, destroyed Sarah Palin with that fish in a barrel interview.Despite this, there is barely anything negative about her found through search results on Google and Youtube. How can she not have hundreds of compilations of her being a cunt???She is also protected on Google search autocomplete...Does anyone have an explanation for the lack of negativity online? Is she a mockingbird asset?",03/21/25(Fri)14:41:06No.501103637,objectively nasty  world class rbf  tds nut famously  destroyed sarah palin fish barrel interview despite  barely anything negative found search results google youtube  hundreds compilations cunt also protected google search autocomplete anyone explanation lack negativity online  mockingbird asset ,"['news_&_social_concern', 'sports']"
p501101590,Is marriage just outdated? Why do people still push this nonsense in society?,03/21/25(Fri)14:15:05No.501101590,marriage outdated  people still push nonsense society ,['diaries_&_daily_life']
p501101137,When did you realize abortion is the one issue that proves the left are massive hypocrites?No one who is pro-abortion can ever claim to be pro-human rights or pro-equality. The mass-murder of babies in the womb is the biggest genocide in human history.,03/21/25(Fri)14:09:10No.501101137,realize abortion one issue proves left massive hypocrites one pro abortion ever claim pro human rights pro equality  mass murder babies womb biggest genocide human history ,['news_&_social_concern']
p501105615,"Remember Argentina used to be 85% white and the rest light-skinned mestizosMany years ago, Europeans stopped coming and immigrants from Latin American countries began to come,mainly people from Paraguay and Bolivia.Now the native population is being replaced by brown peopleIn Argentina all this is completely ignoredthe kids are brainwashed by telling them that the argentinian is the mestizosome people even deny that the country was ever whitehttps://www.amren.com/features/2017/04/argentina-a-mirror-of-your-future-buenos-aires-latin-america/",03/21/25(Fri)15:05:45No.501105615,remember argentina used   white rest light skinned mestizosmany years ago  europeans stopped coming immigrants latin american countries began come mainly people paraguay bolivia native population replaced brown peoplein argentina completely ignoredthe kids brainwashed telling argentinian mestizosome people even deny country ever whitehttps www amren com features   argentina mirror future buenos aires latin america ,['news_&_social_concern']
p501099937,"At the end of the new Assassin's Creed game, the hulking black bull beats the absolute shit out of the boss.While this is happening, drums, Japanese rap and the words CHING CHONG WHA CHA NINJAAAAAA are song in an African chant. You can't make this shit up.Is this the final gasp of hyper cucked white lib produced games? Will this radicalize the Niponese? Will Yasuke impregnate the great Oda Nobunaga's ripe virgin sister? You be the judge /pol/",03/21/25(Fri)13:53:51No.501099937,end new assassin creed game  hulking black bull beats absolute shit boss happening  drums  japanese rap words ching chong wha cha ninjaaaaaa song african chant  make shit final gasp hyper cucked white lib produced games  radicalize niponese  yasuke impregnate great oda nobunaga ripe virgin sister  judge  pol ,['gaming']
p501102838,"Trump's full response:""Well, you know, I was given the task of releasing that, because many presidents have gone through it and they haven’t released. And I said, release. We even released Social Security numbers. I didn’t want anything deleted. They said, sir, what about Social Security? People long gone. But they’re long gone, so I can’t imagine.But I said, if you don’t delete it, if you do delete it, we have people that are going to say, why did you delete it? There’s something in there. So we gave Social Security, and we gave everything. And the rest is for you to look at, Peter. You’re going to see whether or not you see anything. But we’ve given it. We’re doing it with Dr. Martin Luther King, too. They’re preparing all of that. They’re going to release everything. and whoever else they want. I mean, you know, we have nothing. We really have nothing to hide. We shouldn’t have.You know, when a lot of time goes by. But with the Kennedy files, in particular, they were going crazy on them. I don’t think there’s anything. that’s earth-shattering, but you’ll have to make that determination. In those, you know, it’s 80,000. It’s actually 88,000. And we have some additional things, as you know, come out today. And for that, you can go to the offices and you can see whatever you want to see. Everything is out there, totally open. The additional stuff is available later on today. You go over to the offices and you can have it immediately. And you’ll make a determination.""https://www.mediaite.com/tv/trump-cant-answer-when-peter-doocy-asks-simple-question-who-killed-kennedy/It's a good thing those 80,000 JFK files were released! Promises made, promises kept!",03/21/25(Fri)14:31:12No.501102838,trump full response well  know  given task releasing  many presidents gone haven’t released  said  release  even released social security numbers  didn’t want anything deleted  said  sir  social security  people long gone  they’re long gone  can’t imagine said  don’t delete  delete  people going say  delete  there’s something  gave social security  gave everything  rest look  peter  you’re going see whether see anything  we’ve given  we’re dr  martin luther king   they’re preparing  they’re going release everything  whoever else want  mean  know  nothing  really nothing hide  shouldn’t know  lot time goes  kennedy files  particular  going crazy  don’t think there’s anything  that’s earth shattering  you’ll make determination   know  it’s    it’s actually    additional things  know  come today   go offices see whatever want see  everything  totally open  additional stuff available later today  go offices immediately  you’ll make determination https www mediaite com tv trump cant answer peter doocy asks simple question killed kennedy good thing   jfk files released  promises made  promises kept ,['news_&_social_concern']
p501099726,If Founding Stock Americans (like Bill the Butcher) thought Euro immigrants like Irish/Italian Catholics were bad how would they feel about Indian/Mexican mass Immigration?,03/21/25(Fri)13:50:55No.501099726,founding stock americans  like bill butcher  thought euro immigrants like irish italian catholics bad would feel indian mexican mass immigration ,['news_&_social_concern']
p501080179,Who convinced the majority that shitalians are white? They’re literally brown semitic tomatokikes,03/21/25(Fri)09:05:38No.501080179,convinced majority shitalians white  they’re literally brown semitic tomatokikes,['news_&_social_concern']
p501100424,"These morons were using the wrong glue.>Tesla has been forced to recall every Cybertruck it has ever sold after safety regulators raised an issue with the glue used to attach one of its stainless steel panels.>The US National Highway Traffic Safety Administration (NHTSA) will oversee the recall of 46,100 Cybertrucks, marking the eighth recall for Tesla’s electric pickup truck since deliveries to customers began just over a year ago.>A report from the NHTSA warned that an exterior panel that runs along the left and right side of the windscreen can detach while driving, creating a hazard for other drivers.https://www.the-independent.com/tech/tesla-cybertruck-recall-glue-panels-musk-b2719222.htmlRemind me why it's ""illegal"" to boycott these death traps again?",03/21/25(Fri)14:00:29No.501100424,morons using wrong glue tesla forced recall every cybertruck ever sold safety regulators raised issue glue used attach one stainless steel panels us national highway traffic safety administration  nhtsa  oversee recall   cybertrucks  marking eighth recall tesla’s electric pickup truck since deliveries customers began year ago report nhtsa warned exterior panel runs along left right side windscreen detach driving  creating hazard drivers https www independent com tech tesla cybertruck recall glue panels musk b htmlremind  illegal  boycott death traps ,"['business_&_entrepreneurs', 'news_&_social_concern']"
p501094596,">Heathrow to resume some flights and hopes to run full operation tomorrowhttps://www.bbc.co.uk/news/live/cly24zvvwxlt>Putin would breach Ukraine deal if it is not defended, says PMhttps://www.bbc.co.uk/news/articles/cwyd0v3344qo>Government borrowing higher than expected in Februaryhttps://www.bbc.co.uk/news/articles/c0jglw54yvyo>Badenoch warns Tories of difficult local electionshttps://www.bbc.co.uk/news/articles/cvg5dpl1j4zo>Uber offers 20 hours of free childcare in bid to lure female drivershttps://www.bbc.co.uk/news/articles/cgm1pmdlvx8o",03/21/25(Fri)12:41:36No.501094596, heathrow resume flights hopes run full operation tomorrowhttps www bbc co uk news live clyzvvwxlt putin would breach ukraine deal defended  says pmhttps www bbc co uk news articles cwydvqo government borrowing higher expected februaryhttps www bbc co uk news articles cjglwyvyo badenoch warns tories difficult local electionshttps www bbc co uk news articles cvgdpljzo uber offers  hours free childcare bid lure female drivershttps www bbc co uk news articles cgmpmdlvxo,"['business_&_entrepreneurs', 'news_&_social_concern']"
p501095590,Should elon be in jail for market manipulation?,03/21/25(Fri)12:54:50No.501095590,elon jail market manipulation ,"['news_&_social_concern', 'science_&_technology']"
