thread_id,thread_text,time
p501098958,>kill all of our domestic chickens because fake pcr test said to>Have no eggs>Beg for eggs from countries that didn't test or genocide their chickens,03/21/25(Fri)13:40:04No.501098958
p501104660,Denmark is the best country in Europe and I'm tired of pretending it's not.,03/21/25(Fri)14:53:50No.501104660
p501098958,>kill all of our domestic chickens because fake pcr test said to>Have no eggs>Beg for eggs from countries that didn't test or genocide their chickens,03/21/25(Fri)13:40:04No.501098958
p501101640,,03/21/25(Fri)14:15:39No.501101640
p501099426,You can't be racist and pagan.You can't be pro-white and pagan.You can't be pro-christian and pagan.You can't be anti-semetic and pagan.You can't be a nazi and a pagan at the same time.,03/21/25(Fri)13:46:30No.501099426
p501102661,"Yes, we need to convince our leftists here to leave to europe, make all 50 states red, europe would love them",03/21/25(Fri)14:28:43No.501102661
p501102375,>scientists from english speaking country cant even speak english fluentlyBWAHAHAHA these south african dudes were diversity hireshttps://youtu.be/zAKSVhAnaQs?si=zDXoMyB6Mvu_k2hi[Embed],03/21/25(Fri)14:24:53No.501102375
p501105887,RAF now have the F-47 technology. No more illegal military experimentation on us! Nato pilot is DEAD,03/21/25(Fri)15:09:23No.501105887
p501104439,What are the implications of this?,03/21/25(Fri)14:51:09No.501104439
p501101985,"For whoever cares to hear about it, there is massive defrauding of the taxpayers occurring at FCI Thomson in Illinois. It is a federal prison that used to be a state super max, but it got shut down after being deemed inhumane. The feds bought the vacant building and turned it into a low-security prison, and now have about 2000 inmates there. Approximately half the staff at FCI Thomson used to work at the super-max, and during that time their pay was substantially higher. Why? Because at a super-max, staff members automatically get hazard pay.So, how is the administration trying to make up for the pay reduction? Why, by putting the entire prison on lockdown continuously of course.In the feds, going on lockdown means keeping all the inmates in the 2 man cells continuously, which effectively turns the whole prison into the SHU. It has the side-effect of cutting the inmates off from any physical means of communication to the outside. And it also has the side-effect of ensuring that all the guards and staff make huge amounts of overtime whilst actually performing less work. Although their shifts become longer, all the programming and most administrative request processes become disabled. The guards at Thomson go a little bit further by only letting the kitchen staff out for a few hours during lockdowns, so the guards do not even have to take over cooking / passing out the food either (except for unlocking the small slot on the door).The general idea behind lockdowns in the feds is that they are supposed to be an extraordinary measure in response to some extreme danger. Basically, if there's a race riot or a gang war, a prison will go on lockdown. Its not supposed to be the normal status of a prison, because it will eventually make people go violent and crazy. At FCI Thomson, they spent ~3 months out of the last year on lockdown, and so far in 2025 they have spent 40 days on lockdown. We are only 3 months into the year, and this is for low-security inmates!",03/21/25(Fri)14:19:52No.501101985
